Страница 1
1_черга_Зима-25-26
"Графік погодинного відключення електричної енергії (Г П В) в енергосистемі на період з 01 жовтня 2025р. по 01 квітня
2026р. по електричних мережах Черкаської області";
Назва підстанцій, об'єктів;Перелік основних відключаємих споживачів
1 черга, ІІ підчерга;
Канівська філія;
;"с.Межиріч.Лука.Горобівка.Попівка.Буда-Горобівська.Бабичі.Гамарня.Хмільна.Хутір-Хмільна.
Кононча.Пекарі.Михайлівка.Синявка.Козарівка.селещеСтепанецьке.Малий Ржавець. Яблунів. Полствин.Пилява.Копіювато.совхоз
Копіюватський. Мартинівка. Поташня. Ключники. Дарівка.Таганча Мельники.Голяки.Лізки.Беркозівка.Ново Українка."
Жашківська філія;
;С/г, населення с.Пугачівка, Адамівка, Шуляки, Кривчунка, Житники, Леміщиха, Олександрівка, Литвинівка.
Лисянська філія;
;"с.Лисянка: підприємства в районі бувшого автопарку, частина вул.Олега Коваля, вул.Вільного козацтва, вул.Громова, пров. Іллі
Шульги, пров.Козацький, вул.Симеренківська, вул. Івана Мазепи, пров.Пилипа Орлика, вул. Шевченка, пр.Шевченка,
вул.Володимира Великого, пров.Богуславський, вул.Нагірна, вул.Пушкіна, вул.Овражна, район з/д станції, с.Почапенці, с
Верещаки, с.Чеснівка, с.Писарівка, с.Хиженці, с.Буда, с.Журженці, с.П. Гута."
Маньківська філія;
;"ТОВ Киищенці, СФГ Пащенка, ПП Влад, ПП Гоменюк, ФОП Шургай, ФГ Кислинське, ФОП Уманський, ПП Пасічник, населеннях.
Буки (Антонівка) с. Кислин, с. Кути. Нова Гребля (част.)"
;"ФГ БОС, СТОВ Відродження, ПП Влад, ПП Перлина Тікича, ТОВ ПІІ Буцький завод продтоварів, ФОП Король, ДНЗ Буцький ППЛ,
ФОП Осадчук, ПП Олійник, ПП Залізняк, СФГ Світанок, ФОП Русенко, ПП Шустик, СФГ Довгань, СФГ Вершина, ТОВ Лисакове,
ФОП Уманський, Агрофірма Хлібороб, населення: с.м.т Буки, Березівка, частина с.Ч.Кам'янка, населення."
Страница 2
1_черга_Зима-25-26
Назва підстанцій, об'єктів;Перелік основних відключаємих споживачів
;"ТОВ Багва,СФГ Водолій, СТ Вітол, ДНЗ Буцький ППЛ, СФГ Білецького, ФОП Кривда, СФГ Березинське, Русалівка с/р., ТОВ
Автодор, Багва с/р, Лікарня Буки, ФОП Богурська, населення: с.м.т. Буки вул. Аерофлотська, с.Багва, Русалівка, Ульянівка."
"Монастирищенська філія
Уманські	енергетичні";"ТОВ Відродження. ФГ Кривецьке, ПП Кривецьке, ПП Чмига. СФГ Світоч. ТОВ Кузьменко Н.І.. населення: с. Кривець. Рудка.
с. Цибулів, населення, МКЗ, ОСЗ Енергетик, Консерний завод, ТОВ ""Агроветатлантик"".с. Антоніна, населення.с. Шарниполь,
населення.с. Зарубинці, населення.с. Владиславчик, населення частково.с. Івахни, населення.с. Долинка, населення.ТП-10/0,4кВ
52шт."
мережі;"м.Умань, Укртелеком , Пед.Університет, Школа, №4, Населення. Вулиці: Василіанська, Прохожа, Туристів, Робоча, Садова,
Софіївська, Східна, Шевченка, Шлямара Ігоря, Суровцової, Мала Садова, Васильківська, Стуса, Олександрівська,
Комарницького, Базарна, Європейська, Потоцького, Демуцького, Велика Фонтанна. Берегова. Малофонтанна, Гоголя,
Осипенка, Котляревського, Визволителів,"
;"Національний дендропарк ""Софіївка"" НАН України, АТ ""Концерн Галнафтогаз"", ТОВ ""Астеліт"""
;с.Городниця, с.Колодисте, с.Затишок.
;с.Ладижинка
;с.Фурманка, с.Ропотуха, с.Шарин, с.Громи.
;с.Текуча
;с.Ладижинка
;с.Рижавка, с.Колодисте.
;"с.Паланка с.Кочержинці. с.Максимівка, с.Юрківка, с.Черповоди, с.Посухівка, с.Антонівка, с. Малий затишок, с.Томашівка вул.
Зарічна вул.Братів Курінних, ФОП Пастушенко Агрофірма с. Томашівка (Тракторний стан)"
Страница 3
1_черга_Зима-25-26
Назва підстанцій, об'єктів;Перелік основних відключаємих споживачів
Христинівська філія;с.Синиця
;с.Осітна, с.К.Гребля вул.Польова, Миру, Набережна.
;"ПрАТ ""Азот"""
;"""Саревін Інвестментс ЛТД"""
;"ПОСП ""Уманський тепличний комбінат"""
;"ПрАТ ""ЧШК"""
;"ПрАТ ""Миронівська птахофабрика"""
