source_file,substation,raw_segment
11.pdf,,об'єктів
11.pdf,Городищенська філія,Шевченка
11.pdf,Городищенська філія,Незалежна
11.pdf,Городищенська філія,Козацька
11.pdf,Городищенська філія,Садова
11.pdf,Городищенська філія,Симиренка
11.pdf,Городищенська філія,Шкільна
11.pdf,Городищенська філія,Перемоги
11.pdf,Городищенська філія,Привітна
11.pdf,Городищенська філія,Гоголя
11.pdf,Городищенська філія,Миру
11.pdf,Городищенська філія,Вишнева
11.pdf,Городищенська філія,Польова
11.pdf,Городищенська філія,Франка
11.pdf,Городищенська філія,Вільна
11.pdf,Городищенська філія,В.Кучера
11.pdf,Городищенська філія,Вишнева
11.pdf,Городищенська філія,Чапаєва
11.pdf,Городищенська філія,Ярова
11.pdf,Городищенська філія,Соборна
11.pdf,Городищенська філія,Підгірна
11.pdf,Городищенська філія,Вербна
11.pdf,Городищенська філія,Липова
11.pdf,Городищенська філія,Озеона
11.pdf,Городищенська філія,Мічуріна
11.pdf,Городищенська філія,Набережна
11.pdf,Драбівська філія,об'єктів
11.pdf,Драбівська філія,Добробог
11.pdf,Драбівська філія,об'єктів
11.pdf,Драбівська філія,Л.І
11.pdf,Драбівська філія,об'єкти
11.pdf,Драбівська філія,пр
11.pdf,Драбівська філія,Короленка
11.pdf,Драбівська філія,Одеська
11.pdf,Драбівська філія,Березова
11.pdf,Драбівська філія,Радісна
11.pdf,Драбівська філія,Сосюри
11.pdf,Драбівська філія,Літня
11.pdf,Драбівська філія,Козацька
11.pdf,Драбівська філія,Шкільна
11.pdf,Драбівська філія,об'єктів
11.pdf,Драбівська філія,Корольова
11.pdf,Драбівська філія,пров
11.pdf,Драбівська філія,Вишневий
11.pdf,Драбівська філія,Шевченка
11.pdf,Драбівська філія,ГУ
11.pdf,Драбівська філія,О.Ю
11.pdf,Драбівська філія,Північна
11.pdf,Драбівська філія,Польовий
11.pdf,Драбівська філія,об'єктів
11.pdf,Драбівська філія,Рєпіна
11.pdf,Драбівська філія,й
11.pdf,Драбівська філія,Упр
11.pdf,Драбівська філія,ва
11.pdf,Драбівська філія,християн
11.pdf,Драбівська філія,об'єктів
11.pdf,Драбівська філія,ЧОО
11.pdf,Драбівська філія,ГУ
11.pdf,Драбівська філія,ФО
11.pdf,Драбівська філія,ФО
